table_name , partition_name ,subpartition_name , num_rows , sample_size , last_analyzed , global_stats , stale_stats
FT_T_ADST,,,0,0,09-MAY-17,YES,NO
FT_T_ADTP,,,1306,1306,20-OCT-17,YES,NO
FT_T_AEAR,,,0,0,05-MAR-18,YES,NO
FT_T_AFIA,,,0,0,09-MAY-17,YES,NO
FT_T_AFXT,,,0,0,09-MAY-17,YES,NO
FT_T_AGCV,,,0,0,09-MAY-17,YES,NO
FT_T_AGDC,,,0,0,09-MAY-17,YES,NO
FT_T_AGDH,,,0,0,09-MAY-17,YES,NO
FT_T_AGFO,,,0,0,09-MAY-17,YES,NO
FT_T_AGLP,,,0,0,09-MAY-17,YES,NO
FT_T_AGPP,,,0,0,09-MAY-17,YES,NO
FT_T_AGRP,,,0,0,09-MAY-17,YES,NO
FT_T_AHTD,,,0,0,09-MAY-17,YES,NO
FT_T_AIAD,,,0,0,09-MAY-17,YES,NO
FT_T_AICL,,,0,0,08-JUN-17,YES,NO
FT_T_AIDC,,,0,0,09-MAY-17,YES,NO
FT_T_AIDX,,,0,0,09-MAY-17,YES,NO
FT_T_AISR,,,94,94,08-JUN-17,YES,NO
FT_T_AISW,,,0,0,09-MAY-17,YES,NO
FT_T_AITV,,,0,0,09-MAY-17,YES,NO
FT_T_ALID,,,0,0,09-MAY-17,YES,NO
FT_T_ALOI,,,0,0,09-MAY-17,YES,NO
FT_T_ALTD,,,0,0,09-MAY-17,YES,NO
FT_T_AMXP,,,0,0,09-MAY-17,YES,NO
FT_T_ANTF,,,0,0,09-MAY-17,YES,NO
FT_T_AOAR,,,0,0,09-MAY-17,YES,NO
FT_T_AOFV,,,0,0,09-MAY-17,YES,NO
FT_T_AOID,,,0,0,09-MAY-17,YES,NO
FT_T_AOIL,,,0,0,09-MAY-17,YES,NO
FT_T_AOPI,,,0,0,09-MAY-17,YES,NO
FT_T_AOPP,,,0,0,09-MAY-17,YES,NO
FT_T_AOPT,,,0,0,09-MAY-17,YES,NO
FT_T_AOST,,,0,0,09-MAY-17,YES,NO
FT_T_APAD,,,0,0,09-MAY-17,YES,NO
FT_T_APCI,,,5,5,09-MAY-17,YES,NO
FT_T_APDE,,,66,66,05-MAR-18,YES,NO
FT_T_APDF,,,66,66,05-MAR-18,YES,NO
FT_T_APEI,,,0,0,09-MAY-17,YES,NO
FT_T_APFP,,,288,288,05-MAR-18,YES,NO
FT_T_APPT,,,92,92,05-MAR-18,YES,NO
FT_T_AROP,,,0,0,09-MAY-17,YES,NO
FT_T_ARST,,,0,0,09-MAY-17,YES,NO
FT_T_ASCD,,,0,0,09-MAY-17,YES,NO
FT_T_ASCU,,,0,0,09-MAY-17,YES,NO
FT_T_ASET,,,1,1,09-MAY-17,YES,NO
FT_T_ASID,,,0,0,09-MAY-17,YES,NO
FT_T_ASIN,,,0,0,09-MAY-17,YES,NO
FT_T_ASST,,,0,0,09-MAY-17,YES,NO
FT_T_ASTB,,,34,34,20-OCT-17,YES,NO
FT_T_ASTC,,,1625,1625,05-MAR-18,YES,NO
FT_T_ATAC,,,0,0,09-MAY-17,YES,NO
FT_T_ATAC,FT_T_ATAC_P0,,0,,09-MAY-17,YES,NO
FT_T_ATAL,,,0,0,09-MAY-17,YES,NO
FT_T_ATCD,,,0,0,09-MAY-17,YES,NO
FT_T_ATDS,,,0,0,09-MAY-17,YES,NO
